Автор:опо	Название:лоло	Продолжительность:3.25	Цена:100
Автор:ыапр	Название:ука	Продолжительность:3.25	Цена:200
Автор:кенр	Название:ва	Продолжительность:3.25	Цена:300

Автор:ыапр	Название:ука	Продолжительность:3.25	Цена:200
Автор:кенр	Название:ва	Продолжительность:3.25	Цена:300

Автор:ыапр	Название:ука	Продолжительность:3.25	Цена:200
Автор:кенр	Название:ва	Продолжительность:3.25	Цена:300
Автор:прл	Название:ва	Продолжительность:3.25	Цена:300
Автор:енр	Название:вар	Продолжительность:3.25	Цена:200
